BOOT_BUTTON,24.03,97.71,180.00,BUTTON_CUSYOMV1,MYBUTTON
C1,145.25,-5.17,90.00,100nF,EAGLE-LTSPICE_C0402
C10,67.35,97.63,90.00,100nF,EAGLE-LTSPICE_C0402
C10_SUPERCAP,95.56,33.84,270.00,CPH3225A,CAPCP3225X100N
C1_BAT,134.64,38.45,90.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT1,136.18,23.77,270.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT2,122.82,21.27,0.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2,144.13,-5.17,90.00,100nF,EAGLE-LTSPICE_C0402
C2_BAT,128.45,30.35,90.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C3,132.41,23.40,270.00,"100uF TANT",RCL_CT3528
C4,92.35,22.49,90.00,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402
C4_USB,154.73,32.67,0.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5,52.57,97.66,270.00,1uF,EAGLE-LTSPICE_C0402
C5_USB,154.64,30.97,0.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C6,27.41,97.53,90.00,100nF,EAGLE-LTSPICE_C0402
C7,78.70,16.83,0.00,10uF,EAGLE-LTSPICE_C0402
C8,88.19,30.43,180.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C9,5.47,88.33,90.00,100nF,EAGLE-LTSPICE_C0402
CHANGE_BUTTON,63.96,97.71,180.00,BUTTON_CUSYOMV1,MYBUTTON
CHG_LED,125.44,35.55,90.00,,ADAFRUIT_CHIP-LED0603
C_DELAY,51.77,93.59,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
D1,154.08,35.87,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,49.22,16.67,90.00,PGB1010603MR,DIOC1608X36N
D11,47.20,16.67,90.00,PGB1010603MR,DIOC1608X36N
D12,43.38,16.67,90.00,PGB1010603MR,DIOC1608X36N
D2,122.49,24.78,270.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,87.86,22.37,0.00,MBR0530,SOD3716X135N
D4,87.82,18.28,0.00,MBR0530,SOD3716X135N
D5,78.96,26.29,180.00,MBR0530,SOD3716X135N
D6,72.38,13.27,0.00,PGB1010603MR,DIOC1608X36N
D7,89.44,46.88,180.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,13.86,86.97,0.00,PGB1010603MR,DIOC1608X36N
D9,34.34,30.67,90.00,PGB1010603MR,DIOC1608X36N
EPD_C1,65.55,8.67,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C10,79.31,6.89,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C11,77.69,6.89,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C12,76.15,6.89,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C2,67.28,8.65,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C5,87.19,6.95,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C6,85.60,6.95,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C7,84.01,6.95,270.00,1uF/50V,EAGLE-LTSPICE_C0402
